Date,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Easter,Thanksgiving,Christmas
8/21/2013,28359,21314,49673,7231,2710,9941,10261,14607,21314,1796,3811,0,0,0
8/22/2013,28366,21324,49690,7201,2716,9917,10274,14622,21324,1803,3827,0,0,0
8/23/2013,28257,21291,49548,7149,2671,9820,10266,14611,21291,1802,3826,0,0,0
8/24/2013,28274,21343,49617,7110,2690,9800,10291,14650,21343,1801,3824,0,0,0
8/25/2013,28458,21400,49858,7230,2704,9934,10324,14694,21400,1804,3830,0,0,0
8/26/2013,28485,21392,49877,7252,2704,9956,10307,14688,21392,1809,3841,0,0,0
8/27/2013,28414,21322,49736,7209,2713,9922,10277,14640,21322,1813,3852,0,0,0
8/28/2013,28428,21325,49753,7229,2721,9950,10284,14647,21325,1803,3831,0,0,0
8/29/2013,28396,21412,49808,7151,2709,9860,10316,14696,21412,1807,3840,0,0,0
8/30/2013,28182,21343,49525,7032,2653,9685,10281,14651,21343,1811,3846,0,0,0
8/31/2013,28127,21335,49462,6949,2661,9610,10287,14662,21335,1815,3855,0,0,0
9/1/2013,28259,21403,49662,6997,2672,9669,10326,14719,21403,1822,3871,0,0,0
9/2/2013,28377,21404,49781,7094,2707,9801,10319,14704,21404,1823,3872,0,0,0
9/3/2013,28377,21404,49781,7094,2707,9801,10319,14704,21404,1823,3872,0,0,0
9/4/2013,28379,21372,49751,7110,2741,9851,10303,14683,21372,1811,3845,0,0,0
9/5/2013,28379,21372,49751,7110,2741,9851,10303,14683,21372,1811,3845,0,0,0
9/6/2013,28337,21410,49747,7088,2723,9811,10306,14681,21410,1811,3845,0,0,0
9/7/2013,28410,21502,49912,7056,2731,9787,10354,14757,21502,1821,3866,0,0,0
9/8/2013,28402,21555,49957,7156,2588,9744,10377,14785,21555,1824,3873,0,0,0
9/9/2013,28557,21566,50123,7145,2744,9889,10384,14798,21566,1823,3870,0,0,0
9/10/2013,28572,21577,50149,7147,2743,9890,10394,14805,21577,1826,3877,0,0,0
9/11/2013,28580,21571,50151,7166,2729,9895,10387,14804,21571,1829,3881,0,0,0
9/12/2013,28587,21653,50240,7124,2750,9874,10423,14842,21653,1824,3871,0,0,0
9/13/2013,28556,21662,50218,7106,2743,9849,10417,14835,21662,1825,3872,0,0,0
9/14/2013,28556,21694,50250,7098,2752,9850,10428,14853,21694,1816,3853,0,0,0
9/15/2013,28773,21767,50540,7222,2773,9995,10471,14918,21767,1819,3860,0,0,0
9/16/2013,28801,21725,50526,7222,2773,9995,10455,14911,21725,1836,3895,0,0,0
9/17/2013,28755,21697,50452,7221,2794,10015,10439,14878,21697,1819,3862,0,0,0
9/18/2013,28787,21663,50450,7277,2783,10060,10435,14871,21663,1816,3856,0,0,0
9/19/2013,28719,21695,50414,7172,2783,9955,10455,14893,21695,1824,3871,0,0,0
9/20/2013,28673,21705,50378,7185,2751,9936,10453,14883,21705,1817,3854,0,0,0
9/21/2013,28619,21663,50282,7189,2738,9927,10426,14840,21663,1816,3852,0,0,0
9/22/2013,28751,21710,50461,7227,2777,10004,10457,14883,21710,1822,3864,0,0,0
9/23/2013,28874,21734,50608,7280,2801,10081,10465,14912,21734,1830,3881,0,0,0
9/24/2013,28850,21675,50525,7305,2782,10087,10440,14882,21675,1828,3881,0,0,0
9/25/2013,28863,21721,50584,7295,2787,10082,10453,14894,21721,1832,3887,0,0,0
9/26/2013,28888,21804,50692,7287,2771,10058,10483,14934,21804,1836,3896,0,0,0
9/27/2013,28729,21757,50486,7185,2739,9924,10465,14905,21757,1838,3900,0,0,0
9/28/2013,28688,21746,50434,7178,2718,9896,10462,14910,21746,1829,3882,0,0,0
9/29/2013,28815,21780,50595,7264,2724,9988,10480,14927,21780,1837,3900,0,0,0
9/30/2013,28860,21786,50646,7275,2742,10017,10471,14931,21786,1843,3912,0,0,0
10/1/2013,28581,21734,50315,7129,2684,9813,10438,14869,21734,1838,3899,0,0,0
10/2/2013,28583,21768,50351,7073,2681,9754,10469,14916,21768,1845,3913,0,0,0
10/3/2013,28583,21768,50351,7073,2681,9754,10469,14916,21768,1845,3913,0,0,0
10/4/2013,28521,21818,50339,6999,2672,9671,10488,14944,21818,1842,3906,0,0,0
10/5/2013,28507,21817,50324,7012,2666,9678,10483,14928,21817,1839,3901,0,0,0
10/6/2013,28691,21890,50581,7092,2685,9777,10531,14998,21890,1847,3916,0,0,0
10/7/2013,28767,21870,50637,7133,2726,9859,10517,14989,21870,1849,3919,0,0,0
10/8/2013,28772,21830,50602,7165,2722,9887,10494,14972,21830,1846,3913,0,0,0
10/9/2013,28833,21853,50686,7192,2728,9920,10512,14994,21853,1850,3919,0,0,0
10/10/2013,28834,21894,50728,7161,2717,9878,10536,15030,21894,1852,3926,0,0,0
10/11/2013,28791,21883,50674,7091,2738,9829,10534,15037,21883,1851,3925,0,0,0
10/12/2013,28736,21857,50593,7081,2705,9786,10520,15006,21857,1861,3944,0,0,0
10/13/2013,28921,21944,50865,7168,2741,9909,10556,15051,21944,1869,3961,0,0,0
10/14/2013,29014,21948,50962,7248,2751,9999,10558,15053,21948,1869,3962,0,0,0
10/15/2013,28998,21894,50892,7251,2758,10009,10542,15044,21894,1861,3945,0,0,0
10/16/2013,28924,21848,50772,7234,2752,9986,10513,15006,21848,1856,3932,0,0,0
10/17/2013,28914,21848,50762,7216,2774,9990,10510,15004,21848,1849,3920,0,0,0
10/18/2013,28856,21876,50732,7156,2743,9899,10519,15015,21876,1859,3942,0,0,0
10/19/2013,28918,21898,50816,7205,2749,9954,10534,15024,21898,1858,3940,0,0,0
10/20/2013,29094,21965,51059,7297,2776,10073,10568,15070,21965,1863,3951,0,0,0
10/21/2013,29088,21974,51062,7296,2777,10073,10573,15078,21974,1856,3937,0,0,0
10/22/2013,29058,21936,50994,7319,2787,10106,10549,15042,21936,1842,3910,0,0,0
10/23/2013,29125,21927,51052,7358,2801,10159,10554,15042,21927,1849,3924,0,0,0
10/24/2013,29180,21973,51153,7356,2793,10149,10587,15087,21973,1858,3944,0,0,0
10/25/2013,29036,21976,51012,7275,2759,10034,10574,15064,21976,1855,3938,0,0,0
10/26/2013,29058,21997,51055,7264,2770,10034,10592,15076,21997,1860,3948,0,0,0
10/27/2013,29211,22051,51262,7350,2793,10143,10623,15114,22051,1863,3954,0,0,0
10/28/2013,29207,22056,51263,7352,2774,10126,10613,15113,22056,1870,3968,0,0,0
10/29/2013,29187,22035,51222,7342,2787,10129,10598,15100,22035,1866,3958,0,0,0
10/30/2013,29128,22035,51163,7282,2795,10077,10589,15087,22035,1869,3964,0,0,0
10/31/2013,29037,22024,51061,7222,2773,9995,10582,15072,22024,1872,3970,0,0,0
11/1/2013,28743,21990,50733,7043,2693,9736,10570,15057,21990,1864,3950,0,0,0
11/2/2013,28694,21964,50658,7031,2704,9735,10548,15022,21964,1857,3937,0,0,0
11/3/2013,28871,22010,50881,7164,2725,9889,10571,15052,22010,1854,3930,0,0,0
11/4/2013,28930,21982,50912,7232,2722,9954,10555,15037,21982,1858,3939,0,0,0
11/5/2013,28965,21976,50941,7278,2711,9989,10551,15026,21976,1863,3950,0,0,0
11/6/2013,28995,21990,50985,7271,2724,9995,10547,15024,21990,1875,3976,0,0,0
11/7/2013,29000,22028,51028,7269,2714,9983,10562,15047,22028,1872,3970,0,0,0
11/8/2013,28926,22034,50960,7200,2695,9895,10559,15052,22034,1876,3979,0,0,0
11/9/2013,28858,22060,50918,7152,2682,9834,10564,15052,22060,1873,3972,0,0,0
11/10/2013,28992,22074,51066,7254,2687,9941,10581,15066,22074,1879,3985,0,0,0
11/11/2013,29070,22096,51166,7306,2699,10005,10585,15079,22096,1879,3986,0,0,0
11/12/2013,29144,22092,51236,7350,2730,10080,10572,15064,22092,1885,4000,0,0,0
11/13/2013,29063,22047,51110,7318,2720,10038,10561,15038,22047,1879,3987,0,0,0
11/14/2013,29077,22108,51185,7308,2703,10011,10587,15080,22108,1879,3986,0,0,0
11/15/2013,29077,22108,51185,7308,2703,10011,10587,15080,22108,1879,3986,0,0,0
11/16/2013,29077,22108,51185,7308,2703,10011,10587,15080,22108,1879,3986,0,0,0
11/17/2013,29077,22108,51185,7308,2703,10011,10587,15080,22108,1879,3986,0,0,0
11/18/2013,29152,22224,51376,7283,2722,10005,10632,15158,22224,1882,3989,0,0,0
11/19/2013,29168,22215,51383,7301,2724,10025,10626,15146,22215,1887,3997,0,0,0
11/20/2013,29171,22206,51377,7309,2732,10041,10622,15148,22206,1879,3982,0,0,0
11/21/2013,29169,22211,51380,7277,2740,10017,10633,15158,22211,1885,3994,0,0,0
11/22/2013,29025,22189,51214,7203,2695,9898,10623,15139,22189,1882,3988,0,0,0
11/23/2013,29023,22175,51198,7218,2710,9928,10612,15106,22175,1882,3989,0,0,0
11/24/2013,29185,22237,51422,7323,2729,10052,10638,15144,22237,1882,3989,0,0,0
11/25/2013,29237,22252,51489,7347,2728,10075,10648,15169,22252,1882,3993,0,0,0
11/26/2013,29178,22168,51346,7375,2712,10087,10614,15112,22168,1875,3979,0,0,0
11/27/2013,29119,22164,51283,7325,2694,10019,10616,15111,22164,1882,3989,0,0,0
11/28/2013,28902,22174,51076,7166,2661,9827,10606,15094,22174,1878,3981,0,1,0
11/29/2013,28841,22135,50976,7159,2635,9794,10597,15074,22135,1873,3973,0,0,0
11/30/2013,28885,22146,51031,7167,2662,9829,10593,15079,22146,1874,3977,0,0,0
12/1/2013,29067,22151,51218,7300,2686,9986,10599,15082,22151,1885,3999,0,0,0
12/2/2013,29002,22091,51093,7305,2697,10002,10559,15026,22091,1874,3974,0,0,0
12/3/2013,28926,22003,50929,7292,2685,9977,10526,14986,22003,1868,3963,0,0,0
12/4/2013,28887,22022,50909,7251,2695,9946,10524,14977,22022,1868,3964,0,0,0
12/5/2013,28908,22063,50971,7246,2682,9928,10551,15009,22063,1872,3971,0,0,0
12/6/2013,28874,22052,50926,7253,2675,9928,10543,14990,22052,1866,3956,0,0,0
12/7/2013,28933,22066,50999,7286,2697,9983,10546,14983,22066,1871,3967,0,0,0
12/8/2013,29108,22129,51237,7389,2708,10097,10576,15023,22129,1881,3988,0,0,0
12/9/2013,29150,22164,51314,7402,2707,10109,10588,15040,22164,1887,4001,0,0,0
12/10/2013,29096,22060,51156,7417,2712,10129,10545,14976,22060,1883,3991,0,0,0
12/11/2013,29085,22089,51174,7395,2694,10089,10565,15005,22089,1883,3991,0,0,0
12/12/2013,29118,22085,51203,7415,2695,10110,10578,15025,22085,1878,3983,0,0,0
12/13/2013,29007,22066,51073,7317,2693,10010,10570,15015,22066,1877,3982,0,0,0
12/14/2013,28984,22036,51020,7333,2694,10027,10560,15003,22036,1864,3954,0,0,0
12/15/2013,29083,22069,51152,7398,2706,10104,10575,15032,22069,1861,3947,0,0,0
12/16/2013,29161,22054,51215,7442,2725,10167,10564,15027,22054,1872,3967,0,0,0
12/17/2013,29156,22027,51183,7441,2728,10169,10562,15028,22027,1866,3959,0,0,0
12/18/2013,29129,22022,51151,7421,2729,10150,10552,15005,22022,1873,3974,0,0,0
12/19/2013,29129,22022,51151,7421,2729,10150,10552,15005,22022,1873,3974,0,0,0
12/20/2013,28878,21993,50871,7237,2687,9924,10537,14994,21993,1866,3960,0,0,0
12/21/2013,28867,21984,50851,7210,2691,9901,10542,15005,21984,1867,3961,0,0,0
12/22/2013,28960,22032,50992,7267,2698,9965,10565,15037,22032,1865,3958,0,0,0
12/23/2013,29041,22041,51082,7308,2703,10011,10561,15046,22041,1878,3984,0,0,0
12/24/2013,28826,21992,50818,7201,2671,9872,10532,15000,21992,1863,3954,0,0,0
12/25/2013,28938,22027,50965,7261,2681,9942,10556,15036,22027,1866,3960,0,0,1
12/26/2013,28997,22016,51013,7311,2692,10003,10547,15029,22016,1868,3965,0,0,0
12/27/2013,28890,21971,50861,7281,2678,9959,10508,14973,21971,1865,3958,0,0,0
12/28/2013,28826,21961,50787,7261,2660,9921,10494,14950,21961,1864,3955,0,0,0
12/29/2013,28992,22002,50994,7374,2664,10038,10516,14981,22002,1873,3973,0,0,0
12/30/2013,28947,21980,50927,7337,2684,10021,10500,14958,21980,1871,3968,0,0,0
12/31/2013,28463,21907,50370,7030,2588,9618,10458,14889,21907,1867,3956,0,0,0
1/1/2014,28770,21919,50689,7269,2650,9919,10469,14897,21919,1866,3954,0,0,0
1/2/2014,28843,21954,50797,7289,2661,9950,10484,14930,21954,1871,3963,0,0,0
1/3/2014,28947,22007,50954,7323,2678,10001,10521,14978,22007,1872,3968,0,0,0
1/4/2014,28954,22003,50957,7320,2684,10004,10520,14971,22003,1877,3979,0,0,0
1/5/2014,28991,21966,50957,7386,2692,10078,10502,14941,21966,1874,3972,0,0,0
1/6/2014,28974,21936,50910,7399,2704,10103,10462,14896,21936,1874,3975,0,0,0
1/7/2014,29110,21972,51082,7462,2745,10207,10487,14929,21972,1874,3974,0,0,0
1/8/2014,29187,22132,51319,7423,2728,10151,10567,15051,22132,1878,3985,0,0,0
1/9/2014,29190,22162,51352,7367,2736,10103,10586,15074,22162,1892,4013,0,0,0
1/10/2014,29020,22105,51125,7344,2703,10047,10549,15016,22105,1864,3957,0,0,0
1/11/2014,28983,22071,51054,7332,2694,10026,10543,14999,22071,1865,3958,0,0,0
1/12/2014,29139,22122,51261,7387,2726,10113,10584,15055,22122,1872,3971,0,0,0
1/13/2014,29189,22156,51345,7373,2749,10122,10598,15082,22156,1881,3985,0,0,0
1/14/2014,29132,22095,51227,7386,2756,10142,10559,15026,22095,1870,3964,0,0,0
1/15/2014,29169,22175,51344,7373,2771,10144,10591,15066,22175,1867,3959,0,0,0
1/16/2014,29207,22206,51413,7391,2766,10157,10605,15087,22206,1870,3963,0,0,0
1/17/2014,29157,22214,51371,7330,2756,10086,10609,15096,22214,1876,3975,0,0,0
1/18/2014,29150,22169,51319,7369,2754,10123,10591,15065,22169,1871,3962,0,0,0
1/19/2014,29249,22223,51472,7403,2765,10168,10624,15107,22223,1877,3974,0,0,0
1/20/2014,29341,22244,51585,7459,2785,10244,10627,15115,22244,1881,3982,0,0,0
1/21/2014,29395,22254,51649,7485,2787,10272,10627,15126,22254,1888,3997,0,0,0
1/22/2014,29484,22325,51809,7511,2798,10309,10669,15179,22325,1888,3996,0,0,0
1/23/2014,29552,22330,51882,7557,2804,10361,10666,15174,22330,1898,4017,0,0,0
1/24/2014,29538,22369,51907,7506,2803,10309,10685,15213,22369,1897,4016,0,0,0
1/25/2014,29520,22407,51927,7482,2800,10282,10698,15231,22407,1893,4007,0,0,0
1/26/2014,29654,22467,52121,7540,2804,10344,10737,15282,22467,1904,4028,0,0,0
1/27/2014,29680,22488,52168,7545,2814,10359,10740,15295,22488,1903,4026,0,0,0
1/28/2014,29686,22492,52178,7556,2806,10362,10752,15305,22492,1899,4019,0,0,0
1/29/2014,29735,22512,52247,7578,2816,10394,10767,15326,22512,1897,4015,0,0,0
1/30/2014,29708,22523,52231,7540,2803,10343,10772,15341,22523,1902,4024,0,0,0
1/31/2014,29412,22497,51909,7378,2733,10111,10744,15304,22497,1891,3997,0,0,0
2/1/2014,29270,22398,51668,7371,2728,10099,10684,15213,22398,1872,3958,0,0,0
2/2/2014,29309,22415,51724,7384,2730,10114,10692,15229,22415,1875,3966,0,0,0
2/3/2014,29469,22474,51943,7455,2756,10211,10727,15278,22474,1881,3980,0,0,0
2/4/2014,29566,22511,52077,7463,2770,10233,10759,15323,22511,1895,4010,0,0,0
2/5/2014,29610,22527,52137,7497,2769,10266,10760,15322,22527,1902,4022,0,0,0
2/6/2014,29662,22537,52199,7513,2761,10274,10767,15341,22537,1914,4047,0,0,0
2/7/2014,29606,22556,52162,7452,2740,10192,10774,15356,22556,1919,4058,0,0,0
2/8/2014,29502,22490,51992,7419,2744,10163,10742,15296,22490,1911,4043,0,0,0
2/9/2014,29609,22475,52084,7523,2753,10276,10730,15278,22475,1917,4055,0,0,0
2/10/2014,29686,22478,52164,7577,2769,10346,10734,15297,22478,1911,4043,0,0,0
2/11/2014,29706,22460,52166,7602,2790,10392,10722,15280,22460,1906,4034,0,0,0
2/12/2014,29672,22465,52137,7576,2788,10364,10725,15291,22465,1897,4017,0,0,0
2/13/2014,29775,22544,52319,7594,2780,10374,10770,15351,22544,1913,4050,0,0,0
2/14/2014,29630,22523,52153,7503,2756,10259,10763,15333,22523,1908,4038,0,0,0
2/15/2014,29582,22487,52069,7504,2759,10263,10738,15303,22487,1896,4016,0,0,0
2/16/2014,29668,22497,52165,7567,2773,10340,10740,15304,22497,1900,4024,0,0,0
2/17/2014,29751,22519,52270,7612,2785,10397,10754,15322,22519,1904,4032,0,0,0
2/18/2014,29790,22535,52325,7607,2791,10398,10764,15347,22535,1910,4045,0,0,0
2/19/2014,29752,22509,52261,7605,2783,10388,10743,15324,22509,1907,4040,0,0,0
2/20/2014,29693,22478,52171,7606,2772,10378,10731,15310,22478,1889,4005,0,0,0
2/21/2014,29609,22484,52093,7516,2750,10266,10732,15320,22484,1898,4023,0,0,0
2/22/2014,29576,22498,52074,7489,2735,10224,10744,15333,22498,1895,4019,0,0,0
2/23/2014,29694,22555,52249,7552,2740,10292,10771,15369,22555,1902,4033,0,0,0
2/24/2014,29757,22544,52301,7611,2764,10375,10754,15352,22544,1901,4030,0,0,0
2/25/2014,29747,22514,52261,7633,2771,10404,10738,15327,22514,1894,4016,0,0,0
2/26/2014,29749,22589,52338,7614,2768,10382,10758,15350,22589,1895,4017,0,0,0
2/27/2014,29742,22612,52354,7592,2765,10357,10771,15358,22612,1899,4027,0,0,0
2/28/2014,29579,22605,52184,7494,2721,10215,10766,15344,22605,1894,4020,0,0,0
3/1/2014,29536,22631,52167,7448,2687,10135,10778,15357,22631,1906,4044,0,0,0
3/2/2014,29639,22656,52295,7535,2704,10239,10796,15378,22656,1895,4022,0,0,0
3/3/2014,29645,22626,52271,7553,2722,10275,10776,15351,22626,1893,4019,0,0,0
3/4/2014,29593,22525,52118,7555,2723,10278,10739,15296,22525,1893,4019,0,0,0
3/5/2014,29633,22495,52128,7568,2743,10311,10729,15296,22495,1896,4026,0,0,0
3/6/2014,29633,22495,52128,7568,2743,10311,10729,15296,22495,1896,4026,0,0,0
3/7/2014,29561,22509,52070,7498,2711,10209,10743,15315,22509,1900,4037,0,0,0
3/8/2014,29511,22520,52031,7457,2706,10163,10753,15340,22520,1885,4008,0,0,0
3/9/2014,29640,22571,52211,7520,2713,10233,10787,15382,22571,1893,4025,0,0,0
3/10/2014,29651,22506,52157,7557,2752,10309,10748,15336,22506,1884,4006,0,0,0
3/11/2014,29542,22468,52010,7513,2726,10239,10741,15325,22468,1874,3978,0,0,0
3/12/2014,29646,22501,52147,7585,2747,10332,10761,15342,22501,1872,3972,0,0,0
3/13/2014,29642,22505,52147,7594,2724,10318,10767,15354,22505,1872,3970,0,0,0
3/14/2014,29550,22521,52071,7491,2697,10188,10781,15376,22521,1881,3986,0,0,0
3/15/2014,29507,22504,52011,7493,2688,10181,10773,15366,22504,1868,3960,0,0,0
3/16/2014,29707,22546,52253,7629,2708,10337,10794,15396,22546,1874,3974,0,0,0
3/17/2014,29763,22530,52293,7652,2737,10389,10786,15389,22530,1879,3985,0,0,0
3/18/2014,29716,22516,52232,7629,2731,10360,10788,15393,22516,1870,3963,0,0,0
3/19/2014,29790,22509,52299,7672,2747,10419,10778,15391,22509,1879,3980,0,0,0
3/20/2014,29743,22527,52270,7620,2767,10387,10784,15403,22527,1866,3953,0,0,0
3/21/2014,29613,22539,52152,7515,2718,10233,10796,15417,22539,1873,3963,0,0,0
3/22/2014,29603,22559,52162,7491,2711,10202,10800,15425,22559,1880,3976,0,0,0
3/23/2014,29788,22601,52389,7624,2724,10348,10825,15455,22601,1884,3985,0,0,0
3/24/2014,29842,22565,52407,7669,2761,10430,10804,15433,22565,1881,3979,0,0,0
3/25/2014,29839,22528,52367,7674,2779,10453,10793,15418,22528,1876,3968,0,0,0
3/26/2014,29859,22563,52422,7658,2783,10441,10815,15448,22563,1878,3970,0,0,0
3/27/2014,29854,22571,52425,7637,2787,10424,10822,15466,22571,1876,3964,0,0,0
3/28/2014,29712,22574,52286,7521,2739,10260,10831,15487,22574,1877,3965,0,0,0
3/29/2014,29741,22587,52328,7554,2730,10284,10838,15498,22587,1873,3959,0,0,0
3/30/2014,29872,22623,52495,7644,2737,10381,10863,15532,22623,1873,3959,0,0,0
3/31/2014,29833,22587,52420,7640,2734,10374,10839,15496,22587,1875,3963,0,0,0
4/1/2014,29683,22486,52169,7558,2710,10268,10804,15444,22486,1880,3971,0,0,0
4/2/2014,30085,23260,53345,7575,2710,10285,11031,15826,23260,1880,3974,0,0,0
4/3/2014,30015,23259,53274,7505,2704,10209,11035,15830,23259,1882,3976,0,0,0
4/4/2014,30003,23285,53288,7460,2697,10157,11048,15862,23285,1886,3984,0,0,0
4/5/2014,29992,23284,53276,7467,2679,10146,11057,15873,23284,1880,3973,0,0,0
4/6/2014,30176,23335,53511,7570,2716,10286,11080,15904,23335,1886,3986,0,0,0
4/7/2014,30224,23316,53540,7592,2742,10334,11065,15886,23316,1895,4004,0,0,0
4/8/2014,29808,22501,52309,7566,2742,10308,10842,15504,22501,1890,3996,0,0,0
4/9/2014,29840,22479,52319,7610,2730,10340,10835,15499,22479,1894,4001,0,0,0
4/10/2014,29816,22486,52302,7560,2749,10309,10848,15505,22486,1894,4002,0,0,0
4/11/2014,29756,22515,52271,7512,2729,10241,10865,15517,22515,1893,3998,0,0,0
4/12/2014,29716,22538,52254,7476,2726,10202,10866,15525,22538,1889,3989,0,0,0
4/13/2014,29845,22617,52462,7568,2707,10275,10897,15573,22617,1893,3997,0,0,0
4/14/2014,29873,22565,52438,7589,2735,10324,10869,15546,22565,1896,4003,0,0,0
4/15/2014,29942,22545,52487,7693,2741,10434,10853,15523,22545,1888,3985,0,0,0
4/16/2014,29990,22595,52585,7681,2762,10443,10885,15550,22595,1892,3997,0,0,0
4/17/2014,29987,22579,52566,7678,2768,10446,10887,15555,22579,1889,3986,0,0,0
4/18/2014,29884,22546,52430,7628,2758,10386,10866,15522,22546,1886,3976,0,0,0
4/19/2014,29837,22591,52428,7572,2739,10311,10890,15547,22591,1887,3979,0,0,0
4/20/2014,29970,22621,52591,7647,2761,10408,10911,15579,22621,1889,3983,1,0,0
4/21/2014,30020,22593,52613,7733,2752,10485,10893,15556,22593,1887,3979,0,0,0
4/22/2014,29970,22546,52516,7726,2766,10492,10866,15529,22546,1875,3949,0,0,0
4/23/2014,30005,22610,52615,7729,2785,10514,10893,15555,22610,1873,3936,0,0,0
4/24/2014,29966,22636,52602,7732,2775,10507,10893,15555,22636,1857,3904,0,0,0
4/25/2014,29881,22629,52510,7627,2760,10387,10902,15572,22629,1862,3922,0,0,0
4/26/2014,29944,22639,52583,7641,2778,10419,10912,15595,22639,1866,3930,0,0,0
4/27/2014,30059,22681,52740,7715,2773,10488,10941,15631,22681,1872,3940,0,0,0
4/28/2014,30127,22677,52804,7741,2792,10533,10949,15644,22677,1876,3950,0,0,0
4/29/2014,30169,22638,52807,7811,2799,10610,10922,15616,22638,1873,3943,0,0,0
4/30/2014,30146,22661,52807,7776,2803,10579,10940,15633,22661,1870,3934,0,0,0
5/1/2014,29997,22688,52685,7630,2748,10378,10967,15665,22688,1878,3954,0,0,0
5/2/2014,29850,22686,52536,7476,2735,10211,10970,15676,22686,1883,3963,0,0,0
5/3/2014,29833,22684,52517,7484,2724,10208,10972,15672,22684,1877,3953,0,0,0
5/4/2014,30026,22722,52748,7613,2735,10348,10990,15693,22722,1891,3985,0,0,0
5/5/2014,30097,22742,52839,7627,2755,10382,11001,15722,22742,1895,3993,0,0,0
5/6/2014,30077,22716,52793,7629,2761,10390,10982,15703,22716,1890,3984,0,0,0
5/7/2014,30110,22725,52835,7637,2768,10405,10989,15711,22725,1896,3994,0,0,0
5/8/2014,30163,22756,52919,7649,2763,10412,11009,15746,22756,1902,4005,0,0,0
5/9/2014,30114,22753,52867,7597,2750,10347,11020,15758,22753,1903,4009,0,0,0
5/10/2014,30092,22795,52887,7553,2737,10290,11044,15794,22795,1903,4008,0,0,0
