Date,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Easter,Thanksgiving,Christmas
1/4/2018,37461,22636,60097,10706,4061,14767,12691,17385,22636,2516,5309,0,0,0
1/5/2018,37354,22566,59920,10688,4049,14737,12638,17303,22566,2517,5314,0,0,0
1/6/2018,37313,22579,59892,10686,4027,14713,12644,17312,22579,2504,5288,0,0,0
1/7/2018,37435,22657,60092,10698,4044,14742,12693,17388,22657,2512,5305,0,0,0
1/8/2018,37505,22655,60160,10715,4079,14794,12696,17398,22655,2514,5313,0,0,0
1/9/2018,37449,22595,60044,10746,4064,14810,12664,17350,22595,2505,5289,0,0,0
1/10/2018,37481,22627,60108,10762,4068,14830,12686,17366,22627,2503,5285,0,0,0
1/11/2018,37571,22725,60296,10776,4087,14863,12747,17448,22725,2492,5260,0,0,0
1/12/2018,37454,22759,60213,10689,4047,14736,12744,17457,22759,2494,5261,0,0,0
1/13/2018,37467,22710,60177,10723,4058,14781,12716,17420,22710,2496,5266,0,0,0
1/14/2018,37641,22760,60401,10807,4082,14889,12759,17476,22760,2500,5276,0,0,0
1/15/2018,37667,22813,60480,10774,4110,14884,12777,17496,22813,2505,5287,0,0,0
1/16/2018,37655,22786,60441,10792,4092,14884,12771,17485,22786,2504,5286,0,0,0
1/17/2018,37718,22813,60531,10805,4115,14920,12793,17511,22813,2506,5287,0,0,0
1/18/2018,37777,22783,60560,10812,4150,14962,12775,17479,22783,2530,5336,0,0,0
1/19/2018,37742,22795,60537,10792,4136,14928,12801,17500,22795,2519,5314,0,0,0
1/20/2018,37742,22888,60630,10782,4104,14886,12848,17556,22888,2511,5300,0,0,0
1/21/2018,37829,22874,60703,10834,4124,14958,12847,17571,22874,2511,5300,0,0,0
1/22/2018,37823,22824,60647,10877,4123,15000,12817,17527,22824,2511,5296,0,0,0
1/23/2018,37852,22880,60732,10883,4137,15020,12835,17553,22880,2502,5279,0,0,0
1/24/2018,37891,22904,60795,10893,4138,15031,12856,17561,22904,2513,5299,0,0,0
1/25/2018,37926,22919,60845,10920,4126,15046,12874,17596,22919,2505,5284,0,0,0
1/26/2018,37916,22927,60843,10905,4122,15027,12876,17595,22927,2505,5294,0,0,0
1/27/2018,37875,22922,60797,10902,4114,15016,12874,17591,22922,2494,5268,0,0,0
1/28/2018,37931,22930,60861,10939,4120,15059,12883,17603,22930,2493,5269,0,0,0
1/29/2018,37973,22930,60903,10913,4145,15058,12870,17602,22930,2516,5313,0,0,0
1/30/2018,38009,22906,60915,10976,4143,15119,12853,17580,22906,2515,5310,0,0,0
1/31/2018,38088,22950,61038,10989,4150,15139,12878,17619,22950,2524,5330,0,0,0
2/1/2018,38059,22970,61029,10997,4128,15125,12894,17636,22970,2512,5298,0,0,0
2/2/2018,37976,22974,60950,10974,4101,15075,12887,17629,22974,2500,5272,0,0,0
2/3/2018,38019,22983,61002,10988,4116,15104,12891,17629,22983,2506,5286,0,0,0
2/4/2018,38047,22978,61025,10999,4128,15127,12889,17628,22978,2509,5292,0,0,0
2/5/2018,38040,22985,61025,11011,4111,15122,12882,17614,22985,2515,5304,0,0,0
2/6/2018,38038,22964,61002,11009,4151,15160,12870,17598,22964,2503,5280,0,0,0
2/7/2018,38108,22967,61075,11033,4175,15208,12872,17597,22967,2514,5303,0,0,0
2/8/2018,38053,22918,60971,11042,4164,15206,12851,17572,22918,2501,5275,0,0,0
2/9/2018,38035,22891,60926,11032,4164,15196,12853,17579,22891,2492,5260,0,0,0
2/10/2018,37885,22831,60716,10980,4144,15124,12812,17512,22831,2488,5249,0,0,0
2/11/2018,37939,22853,60792,11024,4171,15195,12815,17513,22853,2479,5231,0,0,0
2/12/2018,37963,22791,60754,11043,4184,15227,12786,17479,22791,2491,5257,0,0,0
2/13/2018,37978,22782,60760,11071,4188,15259,12779,17472,22782,2489,5247,0,0,0
2/14/2018,37969,22786,60755,11055,4183,15238,12784,17477,22786,2491,5254,0,0,0
2/15/2018,38009,22766,60775,11078,4203,15281,12782,17474,22766,2490,5254,0,0,0
2/16/2018,37900,22693,60593,11026,4184,15210,12760,17442,22693,2487,5248,0,0,0
2/17/2018,37835,22651,60486,11018,4193,15211,12737,17406,22651,2472,5218,0,0,0
2/18/2018,37899,22662,60561,11058,4188,15246,12743,17423,22662,2479,5230,0,0,0
2/19/2018,37930,22622,60552,11086,4211,15297,12725,17395,22622,2483,5238,0,0,0
2/20/2018,37909,22620,60529,11062,4195,15257,12737,17410,22620,2485,5242,0,0,0
2/21/2018,37874,22598,60472,11094,4187,15281,12722,17372,22598,2474,5221,0,0,0
2/22/2018,37916,22654,60570,11118,4189,15307,12739,17385,22654,2477,5224,0,0,0
2/23/2018,37839,22639,60478,11047,4189,15236,12736,17382,22639,2474,5221,0,0,0
2/24/2018,37769,22597,60366,11056,4186,15242,12709,17348,22597,2453,5179,0,0,0
2/25/2018,37824,22603,60427,11107,4183,15290,12702,17336,22603,2461,5198,0,0,0
2/26/2018,37870,22600,60470,11119,4190,15309,12702,17337,22600,2473,5224,0,0,0
2/27/2018,37837,22620,60457,11109,4179,15288,12715,17350,22620,2462,5199,0,0,0
2/28/2018,37800,22643,60443,11063,4162,15225,12718,17361,22643,2466,5214,0,0,0
3/1/2018,37732,22652,60384,11038,4127,15165,12730,17361,22652,2462,5206,0,0,0
3/2/2018,37776,22647,60423,11051,4133,15184,12727,17362,22647,2474,5230,0,0,0
3/3/2018,37684,22600,60284,11007,4152,15159,12707,17331,22600,2458,5194,0,0,0
3/4/2018,37730,22633,60363,11042,4154,15196,12721,17353,22633,2452,5181,0,0,0
3/5/2018,37806,22613,60419,11107,4167,15274,12707,17320,22613,2466,5212,0,0,0
3/6/2018,37758,22636,60394,11080,4161,15241,12696,17314,22636,2461,5203,0,0,0
3/7/2018,37847,22641,60488,11143,4158,15301,12704,17329,22641,2469,5217,0,0,0
3/8/2018,37835,22671,60506,11119,4152,15271,12716,17352,22671,2466,5212,0,0,0
3/9/2018,37769,22586,60355,11088,4157,15245,12680,17314,22586,2465,5210,0,0,0
3/10/2018,37681,22601,60282,11077,4121,15198,12675,17304,22601,2451,5179,0,0,0
3/11/2018,37795,22621,60416,11113,4169,15282,12691,17324,22621,2456,5189,0,0,0
3/12/2018,37849,22600,60449,11127,4168,15295,12676,17317,22600,2480,5237,0,0,0
3/13/2018,37782,22520,60302,11134,4174,15308,12644,17258,22520,2470,5216,0,0,0
3/14/2018,37786,22550,60336,11122,4178,15300,12665,17274,22550,2468,5212,0,0,0
3/15/2018,37840,22585,60425,11151,4184,15335,12679,17289,22585,2471,5216,0,0,0
3/16/2018,37738,22580,60318,11089,4165,15254,12668,17267,22580,2470,5217,0,0,0
3/17/2018,37711,22601,60312,11094,4156,15250,12674,17267,22601,2460,5194,0,0,0
3/18/2018,37771,22610,60381,11142,4159,15301,12683,17271,22610,2463,5199,0,0,0
3/19/2018,37762,22593,60355,11122,4153,15275,12680,17279,22593,2468,5208,0,0,0
3/20/2018,37851,22570,60421,11177,4183,15360,12667,17258,22570,2480,5233,0,0,0
3/21/2018,37902,22627,60529,11187,4184,15371,12708,17316,22627,2471,5215,0,0,0
3/22/2018,37804,22562,60366,11178,4155,15333,12665,17257,22562,2471,5214,0,0,0
3/23/2018,37694,22538,60232,11136,4129,15265,12659,17247,22538,2456,5182,0,0,0
3/24/2018,37584,22469,60053,11134,4096,15230,12607,17180,22469,2453,5174,0,0,0
3/25/2018,37674,22464,60138,11190,4132,15322,12597,17165,22464,2459,5187,0,0,0
3/26/2018,37677,22456,60133,11174,4146,15320,12587,17149,22456,2469,5208,0,0,0
3/27/2018,37675,22414,60089,11191,4160,15351,12565,17122,22414,2466,5202,0,0,0
3/28/2018,37648,22410,60058,11183,4149,15332,12561,17122,22410,2461,5194,0,0,0
3/29/2018,37572,22408,59980,11134,4142,15276,12559,17108,22408,2459,5188,0,0,0
3/30/2018,37363,22372,59735,11031,4111,15142,12541,17076,22372,2438,5145,0,0,0
3/31/2018,37356,22375,59731,11058,4108,15166,12541,17074,22375,2424,5116,0,0,0
4/1/2018,37447,22382,59829,11134,4089,15223,12565,17107,22382,2423,5117,1,0,0
4/2/2018,37538,22354,59892,11158,4120,15278,12555,17100,22354,2443,5160,0,0,0
4/3/2018,37533,22298,59831,11171,4127,15298,12533,17080,22298,2440,5155,0,0,0
4/4/2018,37533,22298,59831,11171,4127,15298,12533,17080,22298,2440,5155,0,0,0
4/5/2018,37460,22330,59790,11058,4115,15173,12540,17103,22330,2454,5184,0,0,0
4/6/2018,37476,22337,59813,11092,4107,15199,12526,17106,22337,2448,5171,0,0,0
4/7/2018,37470,22275,59745,11124,4112,15236,12503,17082,22275,2438,5152,0,0,0
4/8/2018,37458,22293,59751,11094,4127,15221,12507,17080,22293,2440,5157,0,0,0
4/9/2018,37600,22310,59910,11200,4145,15345,12512,17085,22310,2447,5170,0,0,0
4/10/2018,37608,22291,59899,11218,4164,15382,12496,17064,22291,2442,5162,0,0,0
4/11/2018,37640,22293,59933,11239,4169,15408,12492,17085,22293,2435,5147,0,0,0
4/12/2018,37647,22285,59932,11256,4166,15422,12503,17107,22285,2422,5118,0,0,0
4/13/2018,37476,22263,59739,11145,4120,15265,12483,17094,22263,2422,5117,0,0,0
4/14/2018,37397,22225,59622,11122,4123,15245,12460,17051,22225,2414,5101,0,0,0
4/15/2018,37557,22209,59766,11269,4155,15424,12458,17051,22209,2404,5082,0,0,0
4/16/2018,37560,22209,59769,11260,4165,15425,12453,17032,22209,2415,5103,0,0,0
4/17/2018,37626,22175,59801,11307,4163,15470,12429,17010,22175,2434,5146,0,0,0
4/18/2018,37581,22184,59765,11288,4152,15440,12436,17008,22184,2427,5133,0,0,0
4/19/2018,37561,22184,59745,11293,4167,15460,12428,17004,22184,2410,5097,0,0,0
4/20/2018,37466,22160,59626,11215,4153,15368,12421,16993,22160,2413,5105,0,0,0
4/21/2018,37444,22168,59612,11194,4146,15340,12430,17011,22168,2407,5093,0,0,0
4/22/2018,37485,22132,59617,11248,4155,15403,12418,16987,22132,2408,5095,0,0,0
4/23/2018,37541,22160,59701,11256,4157,15413,12431,17008,22160,2421,5120,0,0,0
4/24/2018,37487,22059,59546,11280,4178,15458,12388,16946,22059,2403,5083,0,0,0
4/25/2018,37519,22119,59638,11289,4160,15449,12411,16980,22119,2406,5090,0,0,0
4/26/2018,37527,22124,59651,11272,4162,15434,12430,17002,22124,2408,5091,0,0,0
4/27/2018,37482,22122,59604,11245,4163,15408,12431,17007,22122,2397,5067,0,0,0
4/28/2018,37411,22125,59536,11227,4129,15356,12439,17016,22125,2383,5039,0,0,0
4/29/2018,37463,22105,59568,11275,4166,15441,12428,17001,22105,2375,5021,0,0,0
4/30/2018,37484,22103,59587,11276,4143,15419,12428,16990,22103,2400,5075,0,0,0
5/1/2018,37392,22116,59508,11183,4141,15324,12436,16995,22116,2399,5073,0,0,0
5/2/2018,37355,22110,59465,11184,4125,15309,12424,16974,22110,2398,5072,0,0,0
5/3/2018,37246,22106,59352,11103,4130,15233,12412,16958,22106,2390,5055,0,0,0
5/4/2018,37187,22068,59255,11055,4114,15169,12400,16944,22068,2401,5074,0,0,0
5/5/2018,37092,22043,59135,11039,4114,15153,12379,16905,22043,2381,5034,0,0,0
5/6/2018,37217,22031,59248,11122,4158,15280,12372,16894,22031,2385,5043,0,0,0
5/7/2018,37259,22025,59284,11145,4169,15314,12368,16891,22025,2390,5054,0,0,0
5/8/2018,37253,22008,59261,11153,4165,15318,12364,16889,22008,2386,5046,0,0,0
5/9/2018,37299,22046,59345,11161,4177,15338,12375,16892,22046,2398,5069,0,0,0
5/10/2018,37307,22060,59367,11164,4169,15333,12380,16900,22060,2401,5074,0,0,0
5/11/2018,37173,22004,59177,11110,4131,15241,12363,16873,22004,2393,5059,0,0,0
5/12/2018,37211,21961,59172,11138,4147,15285,12353,16850,21961,2401,5076,0,0,0
5/13/2018,37310,21969,59279,11198,4164,15362,12360,16868,21969,2403,5080,0,0,0
5/14/2018,37288,21943,59231,11201,4160,15361,12339,16834,21943,2410,5093,0,0,0
5/15/2018,37349,21968,59317,11237,4174,15411,12342,16840,21968,2412,5098,0,0,0
5/16/2018,37413,22061,59474,11260,4175,15435,12390,16896,22061,2403,5082,0,0,0
5/17/2018,37377,22062,59439,11225,4170,15395,12406,16916,22062,2396,5066,0,0,0
5/18/2018,37307,22056,59363,11185,4146,15331,12409,16921,22056,2391,5055,0,0,0
5/19/2018,37179,21998,59177,11126,4152,15278,12379,16867,21998,2380,5034,0,0,0
5/20/2018,37210,21948,59158,11138,4189,15327,12348,16828,21948,2390,5055,0,0,0
5/21/2018,37151,21880,59031,11119,4181,15300,12308,16776,21880,2400,5075,0,0,0
5/22/2018,37253,21893,59146,11227,4189,15416,12297,16752,21893,2405,5085,0,0,0
5/23/2018,37224,21894,59118,11198,4192,15390,12315,16762,21894,2399,5072,0,0,0
5/24/2018,37164,21885,59049,11164,4186,15350,12310,16753,21885,2393,5061,0,0,0
5/25/2018,37045,21845,58890,11069,4181,15250,12302,16731,21845,2396,5064,0,0,0
5/26/2018,37030,21818,58848,11085,4180,15265,12281,16705,21818,2394,5060,0,0,0
5/27/2018,37100,21778,58878,11178,4203,15381,12254,16666,21778,2392,5053,0,0,0
5/28/2018,37162,21810,58972,11194,4219,15413,12260,16676,21810,2400,5073,0,0,0
5/29/2018,37153,21793,58946,11214,4188,15402,12256,16686,21793,2396,5065,0,0,0
5/30/2018,37125,21775,58900,11199,4209,15408,12252,16651,21775,2396,5066,0,0,0
5/31/2018,37006,21780,58786,11130,4196,15326,12251,16642,21780,2383,5038,0,0,0
6/1/2018,36878,21815,58693,11023,4158,15181,12266,16658,21815,2383,5039,0,0,0
6/2/2018,36842,21803,58645,11036,4149,15185,12258,16646,21803,2370,5011,0,0,0
6/3/2018,36995,21810,58805,11121,4193,15314,12264,16655,21810,2376,5026,0,0,0
6/4/2018,37045,21801,58846,11146,4200,15346,12250,16646,21801,2388,5053,0,0,0
6/5/2018,36996,21720,58716,11129,4211,15340,12219,16591,21720,2395,5065,0,0,0
6/6/2018,37015,21772,58787,11123,4218,15341,12258,16627,21772,2387,5047,0,0,0
6/7/2018,37004,21755,58759,11105,4227,15332,12260,16620,21755,2390,5052,0,0,0
6/8/2018,36925,21781,58706,11029,4173,15202,12273,16646,21781,2402,5077,0,0,0
6/9/2018,36963,21794,58757,11006,4187,15193,12295,16680,21794,2408,5090,0,0,0
6/10/2018,37123,21787,58910,11104,4224,15328,12303,16692,21787,2414,5103,0,0,0
6/11/2018,37024,21702,58726,11069,4214,15283,12258,16634,21702,2417,5107,0,0,0
6/12/2018,37030,21692,58722,11096,4210,15306,12258,16632,21692,2409,5092,0,0,0
6/13/2018,37103,21720,58823,11127,4225,15352,12280,16647,21720,2414,5104,0,0,0
6/14/2018,37086,21748,58834,11106,4224,15330,12300,16664,21748,2409,5092,0,0,0
6/15/2018,36970,21740,58710,11051,4175,15226,12286,16646,21740,2411,5098,0,0,0
6/16/2018,36988,21744,58732,11071,4158,15229,12300,16659,21744,2413,5100,0,0,0
6/17/2018,37136,21768,58904,11117,4226,15343,12309,16690,21768,2415,5103,0,0,0
6/18/2018,37232,21753,58985,11200,4237,15437,12297,16675,21753,2423,5120,0,0,0
6/19/2018,37111,21696,58807,11188,4216,15404,12264,16628,21696,2402,5079,0,0,0
6/20/2018,37090,21700,58790,11190,4207,15397,12267,16636,21700,2393,5057,0,0,0
6/21/2018,37058,21656,58714,11173,4225,15398,12248,16606,21656,2391,5054,0,0,0
6/22/2018,36983,21640,58623,11100,4220,15320,12243,16590,21640,2401,5073,0,0,0
6/23/2018,36950,21626,58576,11115,4213,15328,12240,16580,21626,2384,5042,0,0,0
6/24/2018,37050,21673,58723,11157,4218,15375,12253,16600,21673,2400,5075,0,0,0
6/25/2018,37100,21722,58822,11171,4198,15369,12268,16627,21722,2415,5104,0,0,0
6/26/2018,37054,21609,58663,11199,4202,15401,12209,16546,21609,2416,5107,0,0,0
6/27/2018,37134,21639,58773,11215,4208,15423,12233,16595,21639,2419,5116,0,0,0
6/28/2018,37212,21764,58976,11193,4227,15420,12280,16660,21764,2427,5132,0,0,0
6/29/2018,36971,21784,58755,10985,4181,15166,12284,16657,21784,2433,5148,0,0,0
6/30/2018,36971,21756,58727,11009,4171,15180,12289,16660,21756,2424,5131,0,0,0
7/1/2018,37131,21819,58950,11079,4195,15274,12320,16722,21819,2425,5135,0,0,0
7/2/2018,37187,21831,59018,11076,4197,15273,12322,16728,21831,2449,5186,0,0,0
7/3/2018,37145,21907,59052,11068,4156,15224,12343,16756,21907,2438,5165,0,0,0
7/4/2018,37051,21927,58978,10993,4143,15136,12353,16757,21927,2434,5158,0,0,0
7/5/2018,37094,21957,59051,11007,4140,15147,12358,16776,21957,2441,5171,0,0,0
7/6/2018,37011,21862,58873,10972,4162,15134,12304,16697,21862,2443,5180,0,0,0
7/7/2018,37038,21870,58908,11000,4156,15156,12307,16701,21870,2444,5181,0,0,0
7/8/2018,37157,21908,59065,11080,4188,15268,12329,16719,21908,2439,5170,0,0,0
7/9/2018,37178,21878,59056,11073,4196,15269,12310,16713,21878,2452,5196,0,0,0
7/10/2018,37178,21832,59010,11102,4225,15327,12282,16672,21832,2443,5179,0,0,0
7/11/2018,37217,21829,59046,11126,4212,15338,12299,16689,21829,2447,5190,0,0,0
7/12/2018,37119,21845,58964,11062,4201,15263,12299,16680,21845,2442,5176,0,0,0
7/13/2018,37026,21835,58861,11038,4162,15200,12290,16660,21835,2437,5166,0,0,0
7/14/2018,37024,21863,58887,11034,4163,15197,12327,16701,21863,2417,5126,0,0,0
7/15/2018,37152,21863,59015,11099,4217,15316,12324,16705,21863,2420,5131,0,0,0
7/16/2018,37155,21803,58958,11110,4205,15315,12304,16685,21803,2432,5155,0,0,0
7/17/2018,37151,21785,58936,11123,4229,15352,12297,16668,21785,2422,5131,0,0,0
7/18/2018,37206,21854,59060,11144,4219,15363,12342,16714,21854,2419,5129,0,0,0
7/19/2018,37180,21845,59025,11121,4216,15337,12341,16716,21845,2419,5127,0,0,0
7/20/2018,37035,21787,58822,11038,4187,15225,12322,16680,21787,2421,5130,0,0,0
7/21/2018,37094,21776,58870,11099,4197,15296,12321,16674,21776,2417,5124,0,0,0
7/22/2018,37179,21757,58936,11166,4222,15388,12315,16660,21757,2420,5131,0,0,0
7/23/2018,37169,21723,58892,11152,4234,15386,12285,16629,21723,2430,5154,0,0,0
7/24/2018,37252,21710,58962,11219,4264,15483,12278,16627,21710,2425,5142,0,0,0
7/25/2018,37305,21797,59102,11180,4273,15453,12323,16679,21797,2438,5173,0,0,0
7/26/2018,37216,21792,59008,11128,4250,15378,12314,16666,21792,2437,5172,0,0,0
7/27/2018,37195,21734,58929,11117,4257,15374,12306,16668,21734,2428,5153,0,0,0
7/28/2018,37139,21765,58904,11072,4249,15321,12323,16671,21765,2426,5147,0,0,0
7/29/2018,37238,21783,59021,11140,4274,15414,12329,16685,21783,2422,5139,0,0,0
7/30/2018,37217,21744,58961,11128,4282,15410,12311,16658,21744,2428,5149,0,0,0
7/31/2018,37190,21762,58952,11097,4259,15356,12320,16664,21762,2438,5170,0,0,0
8/1/2018,37120,21749,58869,11035,4262,15297,12325,16677,21749,2424,5146,0,0,0
8/2/2018,37162,21701,58863,11081,4265,15346,12308,16643,21701,2437,5173,0,0,0
8/3/2018,37103,21737,58840,11028,4263,15291,12312,16640,21737,2437,5172,0,0,0
8/4/2018,37137,21791,58928,11041,4245,15286,12349,16686,21791,2431,5165,0,0,0
8/5/2018,37261,21827,59088,11088,4285,15373,12365,16714,21827,2435,5174,0,0,0
8/6/2018,37293,21823,59116,11111,4290,15401,12367,16712,21823,2438,5180,0,0,0
8/7/2018,37386,21877,59263,11133,4306,15439,12378,16744,21877,2449,5203,0,0,0
8/8/2018,37367,21850,59217,11140,4290,15430,12384,16746,21850,2444,5191,0,0,0
8/9/2018,37384,21854,59238,11149,4274,15423,12388,16747,21854,2454,5214,0,0,0
8/10/2018,37310,21859,59169,11055,4269,15324,12388,16757,21859,2460,5229,0,0,0
8/11/2018,37390,21866,59256,11100,4276,15376,12401,16778,21866,2464,5236,0,0,0
8/12/2018,37441,21859,59300,11140,4283,15423,12401,16770,21859,2470,5248,0,0,0
8/13/2018,37444,21812,59256,11162,4301,15463,12373,16737,21812,2469,5244,0,0,0
8/14/2018,37464,21831,59295,11191,4313,15504,12375,16739,21831,2458,5221,0,0,0
8/15/2018,37562,21945,59507,11198,4324,15522,12428,16800,21945,2468,5240,0,0,0
8/16/2018,37550,21935,59485,11201,4323,15524,12422,16783,21935,2471,5243,0,0,0
8/17/2018,37467,21942,59409,11136,4303,15439,12435,16787,21942,2470,5241,0,0,0
8/18/2018,37469,21977,59446,11121,4311,15432,12448,16797,21977,2468,5240,0,0,0
8/19/2018,37588,22004,59592,11199,4327,15526,12472,16830,22004,2464,5232,0,0,0
8/20/2018,37678,22024,59702,11235,4334,15569,12486,16860,22024,2473,5249,0,0,0
8/21/2018,37592,21963,59555,11217,4333,15550,12446,16788,21963,2474,5254,0,0,0
8/22/2018,37733,22043,59776,11236,4360,15596,12496,16862,22043,2485,5275,0,0,0
8/23/2018,37703,22041,59744,11244,4359,15603,12494,16848,22041,2473,5252,0,0,0
8/24/2018,37593,22053,59646,11149,4330,15479,12507,16860,22053,2475,5254,0,0,0
8/25/2018,37557,22072,59629,11114,4309,15423,12519,16881,22072,2473,5253,0,0,0
8/26/2018,37721,22140,59861,11202,4333,15535,12552,16919,22140,2479,5267,0,0,0
8/27/2018,37717,22117,59834,11181,4359,15540,12539,16908,22117,2480,5269,0,0,0
8/28/2018,37635,22025,59660,11183,4341,15524,12497,16852,22025,2476,5259,0,0,0
8/29/2018,37707,22136,59843,11191,4346,15537,12546,16908,22136,2477,5262,0,0,0
8/30/2018,37691,22123,59814,11171,4332,15503,12556,16925,22123,2477,5263,0,0,0
8/31/2018,37508,22118,59626,11066,4275,15341,12555,16908,22118,2475,5259,0,0,0
9/1/2018,37491,22113,59604,11051,4286,15337,12552,16880,22113,2482,5274,0,0,0
9/2/2018,37594,22183,59777,11116,4305,15421,12573,16921,22183,2471,5252,0,0,0
9/3/2018,37618,22170,59788,11130,4321,15451,12566,16922,22170,2467,5245,0,0,0
9/4/2018,37663,22116,59779,11214,4321,15535,12531,16862,22116,2479,5266,0,0,0
9/5/2018,37702,22113,59815,11253,4329,15582,12517,16847,22113,2480,5273,0,0,0
9/6/2018,37650,22097,59747,11221,4273,15494,12530,16866,22097,2489,5290,0,0,0
9/7/2018,37626,22159,59785,11150,4291,15441,12551,16900,22159,2487,5285,0,0,0
9/8/2018,37678,22213,59891,11180,4306,15486,12568,16921,22213,2480,5271,0,0,0
9/9/2018,37841,22266,60107,11267,4356,15623,12597,16963,22266,2473,5255,0,0,0
9/10/2018,37854,22240,60094,11266,4371,15637,12574,16934,22240,2485,5283,0,0,0
9/11/2018,37912,22257,60169,11303,4374,15677,12590,16953,22257,2484,5282,0,0,0
9/12/2018,38001,22308,60309,11318,4385,15703,12619,16985,22308,2500,5313,0,0,0
9/13/2018,37976,22264,60240,11288,4381,15669,12617,16984,22264,2503,5323,0,0,0
9/14/2018,37845,22243,60088,11208,4355,15563,12610,16967,22243,2500,5315,0,0,0
9/15/2018,37859,22294,60153,11199,4370,15569,12632,17009,22294,2481,5281,0,0,0
9/16/2018,37933,22347,60280,11248,4374,15622,12651,17030,22347,2481,5281,0,0,0
9/17/2018,38030,22321,60351,11320,4401,15721,12635,16990,22321,2500,5319,0,0,0
9/18/2018,38083,22354,60437,11338,4400,15738,12658,17024,22354,2502,5321,0,0,0
9/19/2018,38071,22434,60505,11315,4400,15715,12695,17063,22434,2488,5293,0,0,0
9/20/2018,38012,22456,60468,11281,4395,15676,12695,17058,22456,2482,5278,0,0,0
9/21/2018,38024,22527,60551,11264,4356,15620,12732,17111,22527,2491,5293,0,0,0
9/22/2018,38046,22540,60586,11252,4379,15631,12745,17126,22540,2491,5289,0,0,0
9/23/2018,38138,22532,60670,11329,4402,15731,12752,17119,22532,2490,5288,0,0,0
9/24/2018,38181,22538,60719,11346,4408,15754,12749,17124,22538,2498,5303,0,0,0
9/25/2018,38203,22554,60757,11344,4408,15752,12757,17140,22554,2502,5311,0,0,0
